Alasan saya bermain Role Play adalah;Saya ... melakukan Tindakan Self Harm (melakukan tindakan bunuh diri, menyayat tangan dengan benda tajam, dsb)
Sebagai Pelarian Dunia Nyata;Sering berfikir untuk;Tidak pernah berfikir untuk
Mencari Teman;Tidak pernah berfikir untuk;Pernah berfikir untuk
Menghabiskaan Waktu Luang;Pernah berfikir untuk;Sering berfikir untuk
Mencari Teman;Pernah berfikir untuk;Pernah
Sebagai Pelarian Dunia Nyata;Tidak pernah berfikir untuk;Sering
Sebagai Pelarian Dunia Nyata;Pernah
Mencari Teman;Tidak pernah berfikir untuk
Coba - Coba (ingin tau);Pernah berfikir untuk
Menghabiskaan Waktu Luang;Pernah berfikir untuk
Sebagai Pelarian Dunia Nyata;Tidak pernah berfikir untuk;Coba - Coba (ingin tau)
Coba - Coba (ingin tau);Pernah berfikir untuk
Sebagai Pelarian Dunia Nyata;Tidak pernah berfikir untuk
Sebagai Pelarian Dunia Nyata;Pernah berfikir untuk
Mencari Teman;Pernah
Sebagai Pelarian Dunia Nyata;Pernah;;;Tidak pernah berfikir untuk
Sebagai Pelarian Dunia Nyata;Tidak pernah berfikir untuk
Coba - Coba (ingin tau);Pernah;;;Sering berfikir untuk
Menghabiskaan Waktu Luang;Tidak pernah berfikir untuk
Coba - Coba (ingin tau);Tidak pernah berfikir untuk
Sebagai Pelarian Dunia Nyata;Pernah berfikir untuk
Sebagai Pelarian Dunia Nyata;Pernah
Coba - Coba (ingin tau);Pernah
Menghabiskaan Waktu Luang;Pernah
Sebagai Pelarian Dunia Nyata;Pernah berfikir untuk
Mencari Teman;Tidak pernah berfikir untuk
Mencari Teman;Tidak pernah berfikir untuk
Sebagai Pelarian Dunia Nyata;Pernah
Coba - Coba (ingin tau);Pernah
Sebagai Pelarian Dunia Nyata;Pernah berfikir untuk
Coba - Coba (ingin tau);Tidak pernah berfikir untuk
Menghabiskaan Waktu Luang;Pernah berfikir untuk
Menghabiskaan Waktu Luang;Pernah berfikir untuk
Sebagai Pelarian Dunia Nyata;Sering
Mencari Teman;Tidak pernah berfikir untuk
